,Repository,LOC,LLOC,SLOC,Comments,Single Comments,Multi,Blank,(C%L),(C%S),(C+M%L)
125,GAIS-Net,203,106,167,8,7,7,22,4%,5%,7%
126,GAIS-Net,69,44,59,1,1,0,9,1%,2%,1%
127,GAIS-Net,15,8,8,5,5,0,2,33%,62%,33%
128,GAIS-Net,47,19,42,1,1,0,4,2%,2%,2%
129,GAIS-Net,65,40,54,1,1,0,10,2%,2%,2%
130,GAIS-Net,76,57,61,1,1,0,14,1%,2%,1%
131,GAIS-Net,31,21,20,2,2,4,5,6%,10%,19%
132,GAIS-Net,39,24,29,1,1,0,9,3%,3%,3%
133,GAIS-Net,16,9,8,2,2,4,2,12%,25%,38%
134,GAIS-Net,95,39,82,0,0,0,13,0%,0%,0%
135,GAIS-Net,3,0,0,3,3,0,0,100%,300%,100%
136,GAIS-Net,262,104,239,2,0,0,23,1%,1%,1%
137,GAIS-Net,150,62,133,0,0,0,17,0%,0%,0%
138,GAIS-Net,177,76,154,0,0,0,23,0%,0%,0%
139,GAIS-Net,564,341,348,41,34,73,109,7%,12%,20%
140,GAIS-Net,128,64,57,9,5,35,31,7%,16%,34%
141,GAIS-Net,188,116,147,10,9,0,32,5%,7%,5%
142,GAIS-Net,0,0,0,0,0,0,0,0%,0%,0%
143,GAIS-Net,267,187,196,12,11,25,35,4%,6%,14%
144,GAIS-Net,72,43,37,4,4,18,13,6%,11%,31%
145,GAIS-Net,2,1,1,1,1,0,0,50%,100%,50%
146,GAIS-Net,268,59,248,9,8,0,12,3%,4%,3%
147,GAIS-Net,455,192,192,187,186,0,77,41%,97%,41%
148,GAIS-Net,66,47,49,1,1,3,13,2%,2%,6%
149,GAIS-Net,37,15,20,3,3,7,7,8%,15%,27%
150,GAIS-Net,146,92,112,15,15,0,19,10%,13%,10%
151,GAIS-Net,117,73,67,8,8,23,19,7%,12%,26%
152,GAIS-Net,206,137,149,18,18,0,39,9%,12%,9%
153,GAIS-Net,45,15,14,3,3,18,10,7%,21%,47%
154,GAIS-Net,61,34,33,8,8,16,4,13%,24%,39%
155,GAIS-Net,14,8,8,1,1,0,5,7%,12%,7%
156,GAIS-Net,46,31,31,3,3,0,12,7%,10%,7%
157,GAIS-Net,0,0,0,0,0,0,0,0%,0%,0%
158,GAIS-Net,25,19,19,2,2,0,4,8%,11%,8%
159,GAIS-Net,24,11,10,0,0,10,4,0%,0%,42%
160,GAIS-Net,23,17,17,2,2,0,4,9%,12%,9%
161,GAIS-Net,78,36,47,5,5,14,12,6%,11%,24%
162,GAIS-Net,11,8,8,1,1,0,2,9%,12%,9%
163,GAIS-Net,38,20,26,4,4,0,8,11%,15%,11%
164,GAIS-Net,52,23,43,4,4,0,5,8%,9%,8%
165,GAIS-Net,4,3,3,1,1,0,0,25%,33%,25%
166,GAIS-Net,134,62,74,5,5,36,19,4%,7%,31%
167,GAIS-Net,112,36,38,20,20,40,14,18%,53%,54%
168,GAIS-Net,12,9,9,1,1,0,2,8%,11%,8%
169,GAIS-Net,95,75,47,8,6,23,19,8%,17%,33%
170,GAIS-Net,0,0,0,0,0,0,0,0%,0%,0%
171,GAIS-Net,16,8,6,1,1,6,3,6%,17%,44%
172,GAIS-Net,122,64,97,4,4,7,14,3%,4%,9%
173,GAIS-Net,68,31,30,5,5,21,12,7%,17%,38%
174,GAIS-Net,207,104,113,11,11,46,37,5%,10%,28%
175,GAIS-Net,2,0,0,2,2,0,0,100%,200%,100%
176,GAIS-Net,157,70,90,13,13,23,31,8%,14%,23%
177,GAIS-Net,289,140,179,48,51,17,42,17%,27%,22%
178,GAIS-Net,45,23,28,8,8,3,6,18%,29%,24%
179,GAIS-Net,206,106,131,11,11,33,31,5%,8%,21%
180,GAIS-Net,0,0,0,0,0,0,0,0%,0%,0%
181,GAIS-Net,107,44,67,0,0,22,18,0%,0%,21%
182,GAIS-Net,194,98,130,13,13,23,28,7%,10%,19%
183,GAIS-Net,152,73,97,3,3,25,27,2%,3%,18%
184,GAIS-Net,110,53,49,15,15,21,25,14%,31%,33%
185,GAIS-Net,91,49,45,5,5,21,20,5%,11%,29%
186,GAIS-Net,84,47,43,4,3,21,17,5%,9%,30%
187,GAIS-Net,67,33,30,2,2,21,14,3%,7%,34%
188,GAIS-Net,2,1,1,1,1,0,0,50%,100%,50%
189,GAIS-Net,16,9,11,1,1,0,4,6%,9%,6%
190,GAIS-Net,87,46,42,5,5,21,19,6%,12%,30%
191,GAIS-Net,0,0,0,0,0,0,0,0%,0%,0%
192,GAIS-Net,77,55,57,5,4,4,12,6%,9%,12%
193,GAIS-Net,72,29,34,7,6,20,12,10%,21%,38%
194,GAIS-Net,0,0,0,0,0,0,0,0%,0%,0%
195,GAIS-Net,217,97,128,23,22,28,39,11%,18%,24%
196,GAIS-Net,167,87,102,7,7,37,21,4%,7%,26%
197,GAIS-Net,62,47,46,1,1,0,15,2%,2%,2%
198,GAIS-Net,151,88,119,1,1,6,25,1%,1%,5%
199,GAIS-Net,198,142,141,9,6,25,26,5%,6%,17%
200,GAIS-Net,74,40,49,2,2,9,14,3%,4%,15%
201,GAIS-Net,0,0,0,0,0,0,0,0%,0%,0%
202,GAIS-Net,176,95,104,14,13,23,36,8%,13%,21%
203,GAIS-Net,221,140,144,13,12,35,30,6%,9%,22%
204,GAIS-Net,239,168,157,12,12,26,44,5%,8%,16%
205,GAIS-Net,57,39,39,5,5,0,13,9%,13%,9%
206,GAIS-Net,107,88,86,1,0,9,12,1%,1%,9%
207,GAIS-Net,93,45,45,13,13,13,22,14%,29%,28%
208,GAIS-Net,49,35,34,0,0,3,12,0%,0%,6%
209,GAIS-Net,0,0,0,0,0,0,0,0%,0%,0%
210,GAIS-Net,42,30,29,0,0,4,9,0%,0%,10%
211,GAIS-Net,291,201,190,16,17,26,58,5%,8%,14%
212,GAIS-Net,29,19,18,0,0,0,11,0%,0%,0%
213,GAIS-Net,50,35,41,0,0,0,9,0%,0%,0%
214,GAIS-Net,51,27,27,0,0,13,11,0%,0%,25%
215,GAIS-Net,0,0,0,0,0,0,0,0%,0%,0%
216,GAIS-Net,183,97,116,13,13,19,35,7%,11%,17%
217,GAIS-Net,125,88,82,13,12,8,23,10%,16%,17%
218,GAIS-Net,38,22,32,0,0,0,6,0%,0%,0%
219,GAIS-Net,106,62,61,8,8,24,13,8%,13%,30%
220,GAIS-Net,79,40,68,1,1,0,10,1%,1%,1%
221,GAIS-Net,3,2,2,1,1,0,0,33%,50%,33%
222,GAIS-Net,460,178,363,30,23,17,57,7%,8%,10%
223,GAIS-Net,252,136,190,7,8,0,54,3%,4%,3%
224,GAIS-Net,829,327,677,18,12,42,98,2%,3%,7%
225,GAIS-Net,218,11,212,73,0,0,6,33%,34%,33%
226,GAIS-Net,190,116,146,11,10,9,25,6%,8%,11%
227,GAIS-Net,2,1,1,1,1,0,0,50%,100%,50%
228,GAIS-Net,21,12,11,1,1,5,4,5%,9%,29%
229,GAIS-Net,103,66,67,14,13,0,23,14%,21%,14%
230,GAIS-Net,23,14,13,1,1,4,5,4%,8%,22%
231,GAIS-Net,114,79,80,11,10,0,24,10%,14%,10%
232,GAIS-Net,7,5,5,2,2,0,0,29%,40%,29%
233,GAIS-Net,36,19,17,2,2,7,10,6%,12%,25%
234,GAIS-Net,134,77,107,2,2,0,25,1%,2%,1%
235,GAIS-Net,26,13,14,0,0,9,3,0%,0%,35%
236,GAIS-Net,21,3,19,0,0,0,2,0%,0%,0%
237,GAIS-Net,397,227,303,40,31,4,59,10%,13%,11%
238,GAIS-Net,16,8,13,0,0,0,3,0%,0%,0%
239,GAIS-Net,214,128,132,17,16,38,28,8%,13%,26%
240,GAIS-Net,83,45,74,4,2,0,7,5%,5%,5%
241,GAIS-Net,108,74,83,2,2,0,23,2%,2%,2%
242,GAIS-Net,9,7,7,1,1,0,1,11%,14%,11%
243,GAIS-Net,126,86,95,6,6,0,25,5%,6%,5%
244,GAIS-Net,6,4,4,1,1,0,1,17%,25%,17%
245,GAIS-Net,115,54,57,30,30,11,17,26%,53%,36%
246,GAIS-Net,66,41,38,6,6,13,9,9%,16%,29%
247,GAIS-Net,31,19,18,4,4,4,5,13%,22%,26%
248,GAIS-Net,1,0,0,1,1,0,0,100%,100%,100%
249,GAIS-Net,122,66,99,7,7,0,16,6%,7%,6%
250,GAIS-Net,135,76,104,8,8,5,18,6%,8%,10%
251,3D-BoundingBox,98,79,79,0,0,0,19,0%,0%,0%
252,3D-BoundingBox,94,86,77,3,3,0,14,3%,4%,3%
253,3D-BoundingBox,79,45,69,10,6,0,4,13%,14%,13%
254,3D-BoundingBox,205,171,174,24,20,0,11,12%,14%,12%
255,RAVEV,139,76,116,3,3,0,20,2%,3%,2%
256,RAVEV,250,116,107,41,46,39,58,16%,38%,32%
257,RAVEV,125,61,60,36,36,0,29,29%,60%,29%
258,RAVEV,38,20,14,2,2,11,11,5%,14%,34%
259,RAVEV,78,58,50,8,5,13,10,10%,16%,27%
260,RAVEV,74,46,43,1,1,17,13,1%,2%,24%
261,RAVEV,110,78,76,12,8,3,23,11%,16%,14%
262,RAVEV,95,68,55,3,2,27,11,3%,5%,32%
263,RAVEV,49,33,29,1,2,8,10,2%,3%,18%
264,RAVEV,552,354,403,54,56,0,93,10%,13%,10%
265,RAVEV,112,42,62,24,24,0,26,21%,39%,21%
266,RAVEV,745,317,389,276,250,0,106,37%,71%,37%
267,RAVEV,130,75,90,3,5,0,35,2%,3%,2%
268,RAVEV,84,63,63,5,4,0,17,6%,8%,6%
269,RAVEV,75,27,26,12,12,13,24,16%,46%,33%
270,RAVEV,36,18,24,4,4,0,8,11%,17%,11%
271,RAVEV,0,0,0,0,0,0,0,0%,0%,0%
272,RAVEV,112,61,73,16,15,0,24,14%,22%,14%
273,compact-perception,237,188,189,32,17,0,31,14%,17%,14%
274,compact-perception,547,310,416,49,40,0,91,9%,12%,9%
275,compact-perception,108,92,79,2,2,0,27,2%,3%,2%
276,compact-perception,603,480,480,63,62,0,61,10%,13%,10%
277,compact-perception,52,41,41,0,0,0,11,0%,0%,0%
278,TuSimple-lane-classes,30,22,22,1,1,0,7,3%,5%,3%
279,TuSimple-lane-classes,108,84,84,8,8,0,16,7%,10%,7%
280,DeepTL-Lane-Change-Classification,33,28,26,0,0,0,7,0%,0%,0%
281,DeepTL-Lane-Change-Classification,21,14,14,0,0,0,7,0%,0%,0%
282,DeepTL-Lane-Change-Classification,35,27,25,0,0,0,10,0%,0%,0%
