,Repository,block_type,Classification
315,self-driving-car-using-ros,M,A
316,self-driving-car-using-ros,M,A
317,self-driving-car-using-ros,M,A
318,self-driving-car-using-ros,M,A
319,self-driving-car-using-ros,M,A
320,self-driving-car-using-ros,M,A
321,self-driving-car-using-ros,M,A
322,self-driving-car-using-ros,M,A
323,self-driving-car-using-ros,M,A
324,self-driving-car-using-ros,M,A
325,self-driving-car-using-ros,M,A
326,self-driving-car-using-ros,M,A
327,self-driving-car-using-ros,M,A
328,self-driving-car-using-ros,M,A
329,self-driving-car-using-ros,M,A
330,self-driving-car-using-ros,M,D
331,self-driving-car-using-ros,M,C
332,self-driving-car-using-ros,C,C
333,self-driving-car-using-ros,M,C
334,self-driving-car-using-ros,C,B
335,self-driving-car-using-ros,M,B
336,self-driving-car-using-ros,M,B
337,self-driving-car-using-ros,M,B
338,self-driving-car-using-ros,C,B
339,self-driving-car-using-ros,M,B
340,self-driving-car-using-ros,M,B
341,self-driving-car-using-ros,M,B
342,self-driving-car-using-ros,M,B
343,self-driving-car-using-ros,M,B
344,self-driving-car-using-ros,M,B
345,self-driving-car-using-ros,M,B
346,self-driving-car-using-ros,M,A
347,self-driving-car-using-ros,M,A
348,self-driving-car-using-ros,M,A
349,self-driving-car-using-ros,M,A
350,self-driving-car-using-ros,C,A
351,self-driving-car-using-ros,C,A
352,self-driving-car-using-ros,M,A
353,self-driving-car-using-ros,M,A
354,self-driving-car-using-ros,C,A
355,self-driving-car-using-ros,C,A
356,self-driving-car-using-ros,C,A
357,self-driving-car-using-ros,C,A
358,self-driving-car-using-ros,C,A
359,self-driving-car-using-ros,M,A
360,self-driving-car-using-ros,M,A
361,self-driving-car-using-ros,C,A
362,self-driving-car-using-ros,C,A
363,self-driving-car-using-ros,M,A
364,self-driving-car-using-ros,M,A
365,self-driving-car-using-ros,M,A
366,self-driving-car-using-ros,M,A
367,self-driving-car-using-ros,M,A
368,self-driving-car-using-ros,M,A
369,self-driving-car-using-ros,C,A
370,self-driving-car-using-ros,M,A
371,self-driving-car-using-ros,M,A
372,self-driving-car-using-ros,M,A
373,self-driving-car-using-ros,M,A
374,self-driving-car-using-ros,M,A
375,self-driving-car-using-ros,M,A
376,self-driving-car-using-ros,C,A
377,self-driving-car-using-ros,M,A
378,self-driving-car-using-ros,M,A
379,self-driving-car-using-ros,M,A
380,self-driving-car-using-ros,M,A
381,self-driving-car-using-ros,M,A
382,self-driving-car-using-ros,M,A
383,self-driving-car-using-ros,M,A
384,self-driving-car-using-ros,M,A
385,self-driving-car-using-ros,M,A
386,self-driving-car-using-ros,M,A
387,self-driving-car-using-ros,M,A
388,self-driving-car-using-ros,M,A
389,self-driving-car-using-ros,M,A
390,self-driving-car-using-ros,M,A
391,self-driving-car-using-ros,M,A
392,self-driving-car-using-ros,M,A
393,self-driving-car-using-ros,M,A
394,self-driving-car-using-ros,M,A
395,self-driving-car-using-ros,M,A
396,self-driving-car-using-ros,M,A
397,self-driving-car-using-ros,M,A
398,self-driving-car-using-ros,M,A
399,self-driving-car-using-ros,M,A
400,self-driving-car-using-ros,M,A
401,self-driving-car-using-ros,M,A
402,self-driving-car-using-ros,F,A
403,self-driving-car-using-ros,F,A
404,self-driving-car-using-ros,F,A
405,self-driving-car-using-ros,F,A
406,self-driving-car-using-ros,F,A
407,self-driving-car-using-ros,F,A
408,self-driving-car-using-ros,F,A
409,self-driving-car-using-ros,F,A
410,self-driving-car-using-ros,F,A
411,self-driving-car-using-ros,F,A
412,self-driving-car-using-ros,F,A
413,self-driving-car-using-ros,F,A
414,self-driving-car-using-ros,F,A
415,self-driving-car-using-ros,F,A
416,self-driving-car-using-ros,F,A
417,self-driving-car-using-ros,F,A
418,self-driving-car-using-ros,F,A
419,self-driving-car-using-ros,F,A
420,self-driving-car-using-ros,C,A
421,self-driving-car-using-ros,C,A
422,self-driving-car-using-ros,C,A
423,self-driving-car-using-ros,C,A
424,self-driving-car-using-ros,C,A
425,self-driving-car-using-ros,F,A
426,self-driving-car-using-ros,F,A
427,self-driving-car-using-ros,M,A
428,self-driving-car-using-ros,M,A
429,self-driving-car-using-ros,M,A
430,self-driving-car-using-ros,M,A
431,self-driving-car-using-ros,M,A
432,self-driving-car-using-ros,M,A
433,self-driving-car-using-ros,M,A
434,self-driving-car-using-ros,M,A
435,self-driving-car-using-ros,M,A
436,self-driving-car-using-ros,M,A
437,self-driving-car-using-ros,M,A
438,self-driving-car-using-ros,M,A
439,self-driving-car-using-ros,M,B
440,self-driving-car-using-ros,M,B
441,self-driving-car-using-ros,M,B
442,self-driving-car-using-ros,M,B
443,self-driving-car-using-ros,C,A
444,self-driving-car-using-ros,C,A
445,self-driving-car-using-ros,M,A
446,self-driving-car-using-ros,C,A
447,self-driving-car-using-ros,M,A
448,self-driving-car-using-ros,M,A
449,self-driving-car-using-ros,M,A
450,self-driving-car-using-ros,M,A
451,self-driving-car-using-ros,M,A
452,self-driving-car-using-ros,M,A
453,self-driving-car-using-ros,M,A
454,self-driving-car-using-ros,M,C
