,Repository,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
52,self-driving-car-using-ros,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
53,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
54,self-driving-car-using-ros,6,18,15,26,24,41,90.56842503028855,187.98346252956745,4.333333333333333,814.5950042947923,45.255278016377346,0.06266115417652249
55,self-driving-car-using-ros,4,11,10,19,15,29,46.053747805010275,113.29982727264704,3.4545454545454546,391.399403305508,21.744411294750442,0.03776660909088234
56,self-driving-car-using-ros,8,17,14,25,25,39,93.48686830125578,181.11039140121426,5.882352941176471,1065.3552435365546,59.186402418697476,0.06037013046707142
57,self-driving-car-using-ros,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
58,self-driving-car-using-ros,4,9,8,16,13,24,36.52932501298081,88.81055323538621,3.5555555555555554,315.7708559480398,17.542825330446657,0.029603517745128736
59,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
60,self-driving-car-using-ros,13,193,124,250,206,374,1513.4499245285738,2874.7511971665235,8.419689119170984,24204.51137510674,1344.695076394819,0.9582503990555078
61,self-driving-car-using-ros,1,4,4,8,5,12,8.0,27.863137138648348,1.0,27.863137138648348,1.5479520632582415,0.00928771237954945
62,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
63,self-driving-car-using-ros,18,244,162,307,262,469,2010.158560391306,3767.675387721064,11.323770491803279,42664.29137816926,2370.2384098982925,1.2558917959070213
64,self-driving-car-using-ros,7,23,20,39,30,59,123.69340944371453,289.50654514090263,5.934782608695652,1718.1584092057917,95.45324495587732,0.09650218171363421
65,self-driving-car-using-ros,13,77,54,103,90,157,530.6482799693416,1019.220936123759,8.694805194805195,8861.927490063073,492.3293050035041,0.339740312041253
66,self-driving-car-using-ros,17,170,145,290,187,435,1329.0833274446652,3282.899090051122,14.5,47602.03680574127,2644.5576003189594,1.0942996966837073
67,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
68,self-driving-car-using-ros,12,104,74,144,116,218,739.8652806953273,1495.0398569378106,8.307692307692308,12420.331119175658,690.0183955097588,0.4983466189792702
69,self-driving-car-using-ros,10,107,72,128,117,200,754.5562484937963,1374.072943916681,5.981308411214953,8218.754057071736,456.5974476150964,0.45802431463889365
70,self-driving-car-using-ros,12,34,23,43,46,66,215.99328661116544,364.5550890997629,7.588235294117647,2766.329793757024,153.68498854205689,0.12151836303325429
71,self-driving-car-using-ros,9,29,25,50,38,75,169.41077387168042,393.5945635082689,7.758620689655173,3053.750923771052,169.65282909839178,0.13119818783608964
72,self-driving-car-using-ros,12,34,23,43,46,66,215.99328661116544,364.5550890997629,7.588235294117647,2766.329793757024,153.68498854205689,0.12151836303325429
73,self-driving-car-using-ros,4,10,6,10,14,16,41.219280948873624,60.91767875292166,2.0,121.83535750584332,6.768630972546851,0.020305892917640553
