,Repository,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume
24,RTM3D,17.86449864498645,0,7,1,4.115056698680177,81.15555555555555,1001879.1375720004,55659.95208733335,12345.17009604053
25,pylot,36.88318833602696,38,6,1,3.564607082257007,53.826530612244895,575611.2967011953,31978.405372288627,10693.821246771022
26,Cam2BEV,83.5129993658846,2,2,0,0.05042249444035256,4.0,605.0699332842307,33.614996293568375,151.26748332105768
27,PythonRobotics,11.53562200073828,41,8,1,4.704963080561301,121.74568965517241,1718426.9251351804,95468.16250751002,14114.889241683903
28,PythonRobotics,21.803795149827828,11,7,1,8.16175412430094,141.75,3470785.9413589747,192821.4411866097,24485.26237290282
29,Cam2BEV,23.112150443340155,48,10,1,5.453624140336475,63.280434782608694,1035323.1202242682,57517.951123570456,16360.872421009426
30,l5kit,26.793248945147678,2,4,0,0.18367746297052545,16.19047619047619,8921.476772854094,495.6375984918941,551.0323889115764
31,pylot,2.2178086726249586,3,10,1,0.8417769514907478,23.714285714285715,59886.41740605606,3327.023189225337,2525.3308544722436
32,CVPR2023-3D-Occupancy-Prediction,11.570064401510104,2,0,0,1.2669229417098857,12.25974025974026,46596.43858340775,2588.6910324115415,3800.768825129657
33,pylot,41.70678336980306,6,6,1,1.2588822844085084,38.8433734939759,146697.70427468786,8149.872459704881,3776.646853225525
34,PythonRobotics,6.5123163125066075,104,5,1,8.054659945175581,137.30232558139537,3317770.6267197654,184320.5903733203,24163.979835526745
35,VoxFormer,31.59401845370665,7,19,1,1.3907805623928422,46.2027027027027,192773.46254680248,10709.636808155694,4172.341687178527
36,pylot,40.0238000793336,1,3,0,0.4448053003172165,21.348837209302328,28488.227838921266,1582.6793243845148,1334.4159009516495
37,PythonRobotics,13.577469482981295,55,7,1,11.166655386818237,199.4745098039216,6682389.328304664,371243.85157248133,33499.96616045471
38,pylot,19.3543428132206,9,14,1,1.54936258153041,38.75,180113.40010291018,10006.300005717232,4648.08774459123
39,CVPR2023-3D-Occupancy-Prediction,26.797385620915033,2,0,0,0.12379492913709159,4.277777777777779,1588.7015905926758,88.26119947737088,371.3847874112748
40,l5kit,12.08030460366909,0,9,1,0.8913709919179515,36.666666666666664,98050.80911097466,5447.267172831926,2674.1129757538547
41,pylot,16.1277160053045,4,13,1,2.6845143530102806,46.13309352517986,371534.8551513329,20640.82528618516,8053.5430590308415
42,PythonRobotics,3.524804177545692,3,5,1,0.45107682776207336,14.325581395348838,19385.81343498399,1076.9896352768883,1353.23048328622
43,CVPR2023-3D-Occupancy-Prediction,8.500345542501728,8,4,1,0.3369594042101764,17.25,17437.64916787663,968.7582871042572,1010.8782126305292
44,pylot,28.897805437274812,5,13,1,4.335469744534378,75.26732673267327,978957.6534044655,54386.53630024809,13006.409233603134
45,PythonRobotics,0.0,4,3,0,0.3401262365157518,14.100000000000001,14387.339804616304,799.2966558120169,1020.3787095472554
46,CVPR2023-3D-Occupancy-Prediction,6.701152127909711,2,0,0,1.3208034166489893,10.5875,41952.01852131352,2330.6676956285287,3962.4102499469677
47,MotionPlanning,24.28599960055922,30,16,1,6.320240550338728,87.41630901287553,1657476.3029523501,92082.01683068612,18960.72165101618
48,SqueezeSeg,20.168067226890756,1,5,0,0.3862603344418538,22.75,26362.267825656523,1464.5704347586957,1158.7810033255614
49,CVPR2023-3D-Occupancy-Prediction,23.051881993896234,2,0,0,1.1073571317280573,13.67741935483871,45437.36359864803,2524.2979777026685,3322.0713951841717
50,PythonRobotics,17.111376609584497,16,13,1,4.361708949789515,65.45336787564767,856465.6213712338,47581.423409512994,13085.126849368544
